fieldsurfacetype, streetno, sportsplayed, facilityname, numberfieldcourts, facilitycondition, facilityupgradeage, facility_id, postcode, facilityage, streettype, changerooms, longitude, latitude, faciltysportplayedid, objectid, suburbtown, lga, streetname
"Grass",null,"Lawn Bowls","Brighton Beach Oval",1,null,null,"BAYSID12330",3186,null,"Road","Male, Umpire/Officials",144.990557000462,-37.9283709992396,20393,849,"BRIGHTON","BAYSIDE","Beach"
"Grass",null,"Lawn Bowls","Brighton Bowls Club",1,null,null,"BAYSID12373",3186,null,"Street",null,144.989224999449,-37.913203999094,20464,850,"BRIGHTON","BAYSIDE","Park"
"Grass",null,"Lawn Bowls","Dendy Park",2,null,null,"BAYSID12345",3186,null,"Street",null,145.023220000413,-37.9250919990818,20417,851,"BRIGHTON EAST","BAYSIDE","Dendy"
"Grass",null,"Lawn Bowls","Easternwick Park Recreation Oval",2,null,null,"BAYSID12352",3185,null,"Road",null,144.993789999768,-37.884782998689,20433,852,"ELSTERNWICK","BAYSIDE","Glenhuntly"
"Grass",null,"Lawn Bowls","F L Yott Reserve",2,null,null,"BAYSID12367",3193,null,"Street",null,145.038711000148,-37.9912309989939,20454,853,"BEAUMARIS","BAYSIDE","Martin"
"Grass",null,"Lawn Bowls","Hampton Bowls Club",3,null,null,"BAYSID12350",3188,null,"Road",null,145.015099999903,-37.9376349989468,20427,854,"HAMPTON","BAYSIDE","Fewster"
"Grass",null,"Lawn Bowls","Hampton R.S.L Bowling Club",1,null,null,"BAYSID12356",3188,null,"Street",null,144.996142999572,-37.9323179990992,20439,855,"HAMPTON","BAYSIDE","Hardie"
null,null,"Lawn Bowls","Hardie St Lawn Bowls Club",null,"4. Good",null,"BAYSID5406",null,"51 Years +",null,null,144.996299999484,-37.9322999992932,27657,856,null,"BAYSIDE",null
"Grass",null,"Lawn Bowls","Highett Bowls Club",2,null,null,"BAYSID12353",3190,null,"Road",null,145.043819999548,-37.9521899991704,20436,857,"HIGHETT","BAYSIDE","Graham"
null,null,"Lawn Bowls","Lyle Anderson Reserve",null,"4. Good",null,"BAYSID5399",null,"26 - 50 Years",null,null,145.026599999512,-37.9466999990136,27645,858,null,"BAYSIDE",null
"Grass",null,"Lawn Bowls","Royal Melbourne Golf Club",3,null,null,"BAYSID12338",3192,null,"Road",null,145.030317999665,-37.9708919993253,20405,859,"CHELTENHAM","BAYSIDE","Cheltenham"
"Grass","25","Lawn Bowls","Sandringham Bowls Club",2,null,null,"BAYSID4268",3191,null,"Street",null,145.022220999805,-37.9620339991876,26735,860,"SANDRINGHAM","BAYSIDE","Tulip"
null,null,"Netball","Boss James Reserve",null,"4. Good",null,"BAYSID5413",null,"26 - 50 Years",null,null,145.021800000408,-37.9425999993218,27668,861,null,"BAYSIDE",null
"Asphalt",null,"Netball","Glamis Avenue Reserve",6,null,null,"BAYSID12351",3188,null,"Avenue",null,145.017855000428,-37.9395129986456,20429,862,"HAMPTON","BAYSIDE","Glamis"
null,null,"Sailing","Beaumaris Motor Yacht Squadron",null,null,null,"BAYSID11219",3193,null,"Road",null,145.044060000153,-37.9905219989089,26765,863,"BEAUMARIS","BAYSIDE","Beach"
null,null,"Sailing","Beaumaris Yacht Club",null,null,null,"BAYSID11220",3193,null,"Road",null,145.027365999652,-37.9894399992255,26766,864,"BEAUMARIS","Bayside City Council","Beach"
null,null,"Sailing","Black Rock Yacht Club",null,null,null,"BAYSID11221",3193,null,"Road",null,145.010256999592,-37.969596998958,26767,865,"BLACK ROCK","BAYSIDE","Beach"
null,null,"Sailing","Hampton Sailing Club",null,null,null,"BAYSID11222",3191,null,"Road",null,144.996696000356,-37.9458539995193,26768,866,"SANDRINGHAM","BAYSIDE","Jetty"
null,"253","Sailing","Royal Brighton Yacht Club",null,null,null,"BAYSID11223",3186,null,"Esplanade",null,144.985809999736,-37.9093179987846,26769,867,"BRIGHTON","BAYSIDE","The"
null,null,"Sailing","Sandringham Yacht Club",null,null,null,"BAYSID11224",3191,null,"Road",null,144.996319999945,-37.9460819988838,26770,868,"SANDRINGHAM","BAYSIDE","Jetty"
null,null,"Skating","Glamis Avenue Reserve",null,"4. Good",null,"BAYSID5411",null,"26 - 50 Years",null,null,145.0180000004,-37.9392999993801,27665,869,null,"BAYSIDE",null
null,null,"Skating","Royal Avenue Reserve",1,null,null,"BAYSID12379",3191,null,"Avenue",null,145.014707999963,-37.9591579993191,20473,870,"SANDRINGHAM","BAYSIDE","Royal"
"Grass",null,"Soccer","Balcombe Park Reserve",1,null,null,"BAYSID12333",3193,null,"Road",null,145.032051000528,-37.9767079994818,20399,871,"BEAUMARIS","BAYSIDE","Balcombe"
"Grass",null,"Soccer","Bay Road Reserve",2,null,null,"BAYSID12361",3191,null,"Road",null,145.026686000563,-37.956596999379,20447,872,"SANDRINGHAM","BAYSIDE","Holloway"
"Grass",null,"Soccer","Beaumaris Reserve",2,null,null,"BAYSID12343",3193,null,"Road","Female, Male, Umpire/Officials",145.035302000489,-37.9830879986453,20411,873,"BEAUMARIS","BAYSIDE","Dalgetty"
"Grass",null,"Soccer","Dendy Park",7,null,null,"BAYSID12345",3186,null,"Street",null,145.023220000413,-37.9250919990818,20418,874,"BRIGHTON EAST","BAYSIDE","Dendy"
"Grass",null,"Soccer","Glamis Avenue Reserve",1,null,null,"BAYSID12351",3188,null,"Avenue",null,145.017855000428,-37.9395129986456,20430,875,"HAMPTON","BAYSIDE","Glamis"
null,null,"Soccer","Glamis Avenue Reserve",null,"4. Good",null,"BAYSID5411",null,"26 - 50 Years",null,null,145.0180000004,-37.9392999993801,27664,876,null,"BAYSIDE",null
"Grass",null,"Soccer","R J Sillitoe Reserve",1,null,null,"BAYSID12363",3186,null,"Street",null,145.021060000106,-37.9342399989161,20450,877,"BRIGHTON","BAYSIDE","Lawson"
