fieldsurfacetype,streetno,sportsplayed,facilityname,numberfieldcourts,facilitycondition,facilityupgradeage,facility_id,postcode,facilityage,streettype,changerooms,longitude,latitude,faciltysportplayedid,objectid,suburbtown,lga,streetname
null,null,Tennis (Outdoor),Robert Barrett Reserve,4,null,null,MARIBY8481,3032,null,Road,null,144.88635,-37.778339,26092,5361,MARIBYRNONG,MARIBYRNONG,Rosamond
Plexipave,null,Tennis (Outdoor),Skinner Reserve,2,3. Average,N/A,MARIBY8485,3019,6 - 10 Years,Avenue,null,144.855322,-37.787315,26102,5362,BRAYBROOK,MARIBYRNONG,Churchill
Plexipave,null,Tennis (Outdoor),Yarraville Oval,2,null,N/A,MARIBY8490,3013,51 Years +,Street,Unisex,144.884146,-37.8149,26114,5363,YARRAVILLE,MARIBYRNONG,Powell
null,null,Volleyball,Footscray Nicholson Recreation Centre (Vic Uni),null,null,null,MARIBY8456,3011,null,Street,null,144.898151,-37.804628,26036,5364,FOOTSCRAY,MARIBYRNONG,Buckley
null,null,Volleyball,Footscray Park Aquatic and Fitness Centre (Vic Uni),null,null,null,MARIBY8458,3011,null,Road,null,144.898001,-37.792875,26043,5365,FOOTSCRAY,MARIBYRNONG,Ballarat
null,417,Volleyball,Whitten Oval,null,null,null,MARIBY8488,3012,null,Street,null,144.886788,-37.799971,26110,5366,WEST FOOTSCRAY,MARIBYRNONG,Barkly
null,null,null,Griff Hunt Reserve,null,null,null,MAROON11020,3136,null,Road,null,145.292259,-37.765544,23217,5367,CROYDON NORTH,MAROONDAH,Lyons
null,15-May,Aerobics,Contours Croydon,null,null,null,MAROON11005,3136,null,Avenue,null,145.277689,-37.793582,23180,5368,CROYDON,MAROONDAH,Kent
null,4-Feb,Fitness / Gymnasium Workouts,Tone and Trim Zone,null,null,null,MAROON11006,3135,null,Avenue,null,145.247972,-37.81315,23183,5442,RINGWOOD EAST,MAROONDAH,Railway
null,null,Aerobics,Croydon Leisure & Aquatic Centre,null,5. Very Good,11 + Years,MAROON11007,3136,0 - 5 Years,Square,"Female, Male",145.280821,-37.801099,23184,5369,CROYDON,MAROONDAH,Civic
null,58,Aerobics,Curves Croydon,null,null,null,MAROON11010,3136,null,Street,null,145.281664,-37.79526,23197,5370,CROYDON,MAROONDAH,Main
null,51,Aerobics,Curves Ringwood,null,null,null,MAROON11011,3134,null,Street,null,145.222028,-37.816443,23199,5371,RINGWOOD,MAROONDAH,Seymour
null,93-97,Aerobics,Genesis Fitness Club Ringwood,null,null,null,MAROON11016,3134,null,Highway,null,145.224604,-37.815835,23208,5372,RINGWOOD,MAROONDAH,Maroondah
null,76-82,Aerobics,Jetts Fitness Ringwood,null,null,null,MAROON11026,3134,null,Highway,null,145.223661,-37.817472,23234,5373,RINGWOOD,MAROONDAH,Maroondah
null,379,Aerobics,Personal Fitness Centre Bayswater,null,null,null,MAROON11035,3153,null,Road,null,145.271935,-37.835821,23252,5374,BAYSWATER,MAROONDAH,Bayswater
null,4-Feb,Aerobics,Tone and Trim Zone,null,null,null,MAROON11006,3135,null,Avenue,null,145.247972,-37.81315,23182,5375,RINGWOOD EAST,MAROONDAH,Railway
Synthetic Running Track,null,Athletics,Proclamation Park,1,2. Poor,1 - 5 Years,MAROON11037,3134,26 - 50 Years,Grove,"Female, Male",145.222627,-37.82845,23256,5376,RINGWOOD,MAROONDAH,Sylvia
Synthetic Running Track,null,Athletics,Town Park,1,4. Good,11 + Years,MAROON11048,3136,26 - 50 Years,Road,"Female, Male",145.283005,-37.80184,23275,5377,CROYDON,MAROONDAH,Norton
Grass,null,Australian Rules Football,Ainslie Park,1,null,11 + Years,MAROON10999,3136,11 - 25 Years,Road,Male,145.263933,-37.79537,23164,5378,CROYDON,MAROONDAH,Brentnall
Grass,null,Australian Rules Football,Barngeong Reserve,3,3. Average,6 - 10 Years,MAROON11001,3136,26 - 50 Years,Street,Male,145.305341,-37.777352,23169,5379,CROYDON,MAROONDAH,Bambra
Grass,null,Australian Rules Football,Benson Oval (Eastfield Park),1,3. Average,6 - 10 Years,MAROON11003,3136,26 - 50 Years,Road,Male,145.279291,-37.808639,23175,5380,CROYDON,MAROONDAH,Eastfield
Grass,null,Australian Rules Football,Cheong Park,1,3. Average,6 - 10 Years,MAROON11004,3136,26 - 50 Years,Road,"Female, Male",145.268724,-37.809342,23177,5381,CROYDON SOUTH,MAROONDAH,Eastfield
Grass,null,Australian Rules Football,Croydon Park,1,4. Good,11 + Years,MAROON11009,3136,26 - 50 Years,Avenue,"Female, Male, Unisex",145.283862,-37.797767,23194,5382,CROYDON,MAROONDAH,Springfield
Grass,null,Australian Rules Football,East Ringwood Reserve,2,2. Poor,1 - 5 Years,MAROON11014,3135,26 - 50 Years,Road,Male,145.246274,-37.808103,23204,5383,RINGWOOD EAST,MAROONDAH,Mt Dandenong
Grass,null,Australian Rules Football,HE Parker Reserve,2,3. Average,6 - 10 Years,MAROON11021,3135,26 - 50 Years,Road,"Female, Male",145.253573,-37.835339,23219,5384,HEATHMONT,MAROONDAH,Heathmont
Grass,null,Australian Rules Football,Heathmont Reserve,1,5. Very Good,11 + Years,MAROON11023,3135,0 - 5 Years,Street,"Female, Male",145.23669,-37.833383,23226,5385,HEATHMONT,MAROONDAH,Waterloo
Grass,null,Australian Rules Football,Hughes Park,1,5. Very Good,11 + Years,MAROON11024,3136,0 - 5 Years,Highway,Male,145.29738,-37.767709,23230,5386,CROYDON,MAROONDAH,Maroondah
Grass,null,Australian Rules Football,Jubilee Park,2,3. Average,11 + Years,MAROON11028,3134,26 - 50 Years,Avenue,Male,145.23187,-37.824098,23237,5387,RINGWOOD,MAROONDAH,Greenwood
Grass,null,Australian Rules Football,Lipscombe Park,1,null,null,MAROON11029,3136,null,Drive,null,145.268091,-37.784573,23241,5388,CROYDON,MAROONDAH,Kirtan
Grass,null,Australian Rules Football,Mullum Mullum Reserve,2,3. Average,6 - 10 Years,MAROON11032,3134,26 - 50 Years,Road,Male,145.237579,-37.804578,23247,5389,RINGWOOD,MAROONDAH,Mullum Mullum
Grass,null,Australian Rules Football,North Ringwood Reserve,1,4. Good,11 + Years,MAROON11033,3134,26 - 50 Years,Road,Male,145.23878,-37.795272,23249,5390,RINGWOOD,MAROONDAH,Wonga
Grass,null,Australian Rules Football,Quambee Reserve,3,4. Good,11 + Years,MAROON11038,3134,26 - 50 Years,Road,Male,145.246087,-37.782582,23259,5391,RINGWOOD NORTH,MAROONDAH,Wonga
Wooden Flooring,null,Badminton,Croydon Leisure & Aquatic Centre,null,5. Very Good,11 + Years,MAROON11007,3136,0 - 5 Years,Square,"Female, Male",145.280821,-37.801099,23185,5392,CROYDON,MAROONDAH,Civic
Grass,null,Baseball,Barngeong Reserve,2,3. Average,6 - 10 Years,MAROON11001,3136,26 - 50 Years,Street,Male,145.305341,-37.777352,23170,5393,CROYDON,MAROONDAH,Bambra
Grass,null,Baseball,Heathmont Reserve,1,5. Very Good,11 + Years,MAROON11023,3135,0 - 5 Years,Street,"Female, Male",145.23669,-37.833383,23227,5394,HEATHMONT,MAROONDAH,Waterloo
Grass,null,Baseball,Proclamation Park,2,2. Poor,1 - 5 Years,MAROON11037,3134,26 - 50 Years,Grove,"Female, Male",145.222627,-37.82845,23257,5395,RINGWOOD,MAROONDAH,Sylvia
Wooden Gymnasium,null,Basketball,John Frost Stadium,1,3. Average,11 + Years,MAROON11027,3136,26 - 50 Years,Road,"Female, Male",145.267566,-37.809887,23236,5396,CROYDON SOUTH,MAROONDAH,Eastfield
Wooden Gymnasium,362-378,Basketball,Maroondah Indoor Sports Centre,4,4. Good,11 + Years,MAROON11030,3134,11 - 25 Years,Road,"Female, Male",145.221599,-37.8332,23243,5397,RINGWOOD,MAROONDAH,Canterbury
null,null,BMX,Arrabri Reserve,null,null,null,MAROON11000,3153,null,Drive,null,145.29473,-37.830778,23166,5398,BAYSWATER NORTH,MAROONDAH,Allambanan
null,null,BMX,HE Parker Reserve,null,null,null,MAROON11021,3135,null,Road,null,145.253573,-37.835339,23220,5399,HEATHMONT,MAROONDAH,Heathmont
null,null,BMX,Ringwood Skate Park,null,null,null,MAROON11044,3134,null,Street,null,145.224811,-37.815324,23268,5400,RINGWOOD,MAROONDAH,Seymour
null,null,BMX,Yarrunga Reserve,null,null,null,MAROON11049,3136,null,Drive,null,145.27044,-37.774813,23280,5401,CROYDON HILLS,MAROONDAH,Croydon Hills
Synthetic Pitch,null,Cricket,Ainslie Park,1,null,11 + Years,MAROON10999,3136,11 - 25 Years,Road,Male,145.263933,-37.79537,23165,5402,CROYDON,MAROONDAH,Brentnall
Synthetic Pitch,null,Cricket,Arrabri Reserve,1,3. Average,6 - 10 Years,MAROON11000,3153,26 - 50 Years,Drive,Same as above,145.29473,-37.830778,23167,5403,BAYSWATER NORTH,MAROONDAH,Allambanan
Synthetic Pitch,null,Cricket,Barngeong Reserve,3,3. Average,6 - 10 Years,MAROON11001,3136,26 - 50 Years,Street,Male,145.305341,-37.777352,23171,5404,CROYDON,MAROONDAH,Bambra
null,null,Fitness / Gymnasium Workouts,Westpac Centre,null,null,null,MELBOU11031,null,null,Boulevard,null,144.981926,-37.824674,23543,5550,MELBOURNE,MELBOURNE,Olympic
